Date,low_regime,high_regime
2019-01-01,9.076670593247917e-05,0.9999092332940676
2019-01-02,4.0238253320962055e-06,0.999995976174668
2019-01-03,5.301420036633035e-07,0.9999994698579966
2019-01-04,2.0986784329261756e-07,0.999999790132157
2019-01-07,1.5574549330452125e-07,0.999999844254507
2019-01-08,1.7049407794616244e-07,0.9999998295059223
2019-01-09,1.5360670060934026e-07,0.9999998463932995
2019-01-10,1.6764023667207884e-07,0.9999998323597635
2019-01-11,1.7460777574439675e-07,0.9999998253922245
2019-01-14,1.8097176906542329e-07,0.9999998190282311
2019-01-15,1.8474654547435316e-07,0.9999998152534548
2019-01-16,1.31174419229017e-07,0.9999998688255811
2019-01-17,1.3150130748102377e-07,0.9999998684986927
2019-01-18,1.1763112653494796e-07,0.9999998823688738
2019-01-21,1.3434453022420053e-07,0.99999986565547
2019-01-22,1.4131548129683374e-07,0.9999998586845188
2019-01-23,1.1593959635995168e-07,0.9999998840604036
2019-01-24,9.912056211642512e-08,0.9999999008794379
2019-01-25,1.1624988812279491e-07,0.9999998837501118
2019-01-28,1.244715611223425e-07,0.9999998755284388
2019-01-29,1.1419708579533746e-07,0.9999998858029142
2019-01-30,8.282364985882276e-08,0.9999999171763502
2019-01-31,8.229377545833802e-08,0.9999999177062247
2019-02-01,8.665162298032734e-08,0.9999999133483771
2019-02-04,9.033165119817258e-08,0.999999909668349
2019-02-05,9.214085551731278e-08,0.9999999078591446
2019-02-06,1.0426470354916462e-07,0.9999998957352966
2019-02-07,1.0743564097682636e-07,0.9999998925643592
2019-02-08,8.550632024899565e-08,0.9999999144936799
2019-02-11,1.0164557865797907e-07,0.9999998983544215
2019-02-12,1.0467274438812456e-07,0.9999998953272556
2019-02-13,1.4373475836749282e-07,0.9999998562652418
2019-02-14,1.5214443420070231e-07,0.9999998478555658
2019-02-15,1.2993137601008233e-07,0.9999998700686241
2019-02-18,1.244403558081661e-07,0.9999998755596443
2019-02-19,9.759321510541159e-08,0.9999999024067849
2019-02-20,9.42128829580266e-08,0.9999999057871172
2019-02-21,9.294972067884825e-08,0.9999999070502796
2019-02-22,8.255010168245027e-08,0.9999999174498988
2019-02-25,8.88608166442652e-08,0.9999999111391839
2019-02-26,9.635029656288697e-08,0.9999999036497041
2019-02-27,9.991519850982538e-08,0.9999999000848021
2019-02-28,1.091317693565181e-07,0.9999998908682312
2019-03-01,1.0498106200095654e-07,0.9999998950189385
2019-03-04,9.849503868939505e-08,0.9999999015049615
2019-03-05,1.0115673389787122e-07,0.9999998988432665
2019-03-06,1.0734295257207121e-07,0.9999998926570477
2019-03-07,1.266125687830872e-07,0.9999998733874316
2019-03-08,1.3052095802238813e-07,0.9999998694790422
2019-03-11,1.0663358376353224e-07,0.9999998933664165
2019-03-12,9.174343390835222e-08,0.9999999082565665
2019-03-13,8.544060533135116e-08,0.9999999145593952
2019-03-14,8.43635676689469e-08,0.9999999156364329
2019-03-15,6.244165989335815e-08,0.9999999375583408
2019-03-18,5.0442695846643215e-08,0.9999999495573049
2019-03-19,5.0244968676332397e-08,0.999999949755032
2019-03-20,4.049444085144197e-08,0.99999995950556
2019-03-21,3.905467761085792e-08,0.9999999609453232
2019-03-22,5.760305081656342e-08,0.9999999423969499
2019-03-25,4.131899030252782e-08,0.9999999586810105
2019-03-26,5.113837800984845e-08,0.999999948861623
2019-03-27,6.352581259451267e-08,0.9999999364741885
2019-03-28,6.892464415201811e-08,0.9999999310753569
2019-03-29,9.778501325807739e-08,0.9999999022149877
2019-04-01,7.664527898881322e-08,0.9999999233547221
2019-04-02,8.051324493683752e-08,0.9999999194867562
2019-04-03,7.718222838579638e-08,0.9999999228177726
2019-04-04,8.34100830482235e-08,0.9999999165899178
2019-04-05,8.18048970308351e-08,0.9999999181951038
2019-04-08,6.447141722789142e-08,0.9999999355285835
2019-04-09,6.682752340176967e-08,0.9999999331724774
2019-04-10,4.7866676692296343e-08,0.999999952133324
2019-04-11,5.710578542134621e-08,0.9999999428942152
2019-04-12,5.1037017742667455e-08,0.9999999489629829
2019-04-15,4.8534522803384126e-08,0.9999999514654778
2019-04-16,4.3056440825813316e-08,0.9999999569435598
2019-04-17,3.781769926474982e-08,0.9999999621823012
2019-04-18,3.8991881696999736e-08,0.9999999610081189
2019-04-19,4.162910815716281e-08,0.9999999583708924
2019-04-22,3.741672611538329e-08,0.9999999625832745
2019-04-23,3.587489830793893e-08,0.9999999641251022
2019-04-24,5.215001133489373e-08,0.9999999478499891
2019-04-25,5.8010173062208925e-08,0.9999999419898273
2019-04-26,6.231306296433352e-08,0.9999999376869373
2019-04-29,5.2802507327687723e-08,0.9999999471974929
2019-04-30,5.672422280578017e-08,0.9999999432757776
2019-05-01,6.363178574020766e-08,0.9999999363682147
2019-05-02,8.273373607987645e-08,0.9999999172662644
2019-05-03,7.224688042938971e-08,0.9999999277531201
2019-05-06,7.680751755721062e-08,0.9999999231924828
2019-05-07,8.281486506058914e-08,0.9999999171851353
2019-05-08,7.04952780387374e-08,0.9999999295047223
2019-05-09,7.78421859803386e-08,0.9999999221578144
2019-05-10,7.300437254675116e-08,0.9999999269956278
2019-05-13,8.360920750178192e-08,0.9999999163907929
2019-05-14,6.590259861549551e-08,0.9999999340974017
2019-05-15,5.7695058062227196e-08,0.9999999423049424
2019-05-16,5.684667110363201e-08,0.9999999431533293
2019-05-17,5.993348740722016e-08,0.9999999400665129
2019-05-20,5.4868044904230316e-08,0.9999999451319553
2019-05-21,5.165880614015984e-08,0.9999999483411943
2019-05-22,4.8326508432067286e-08,0.9999999516734918
