Date,Open,High,Low,Close
05/04/23, 0.012579, 0.012905, 0.012578, 0.012739
05/03/23, 0.012483, 0.012780, 0.012483, 0.012780
05/02/23, 0.012392, 0.012618, 0.012392, 0.012483
05/01/23, 0.012430, 0.012678, 0.012392, 0.012392
04/28/23, 0.012217, 0.012674, 0.012217, 0.012504
04/27/23, 0.012225, 0.012309, 0.012169, 0.012255
04/26/23, 0.012240, 0.012288, 0.011993, 0.012176
04/25/23, 0.012271, 0.012369, 0.012199, 0.012368
04/24/23, 0.012277, 0.012375, 0.011833, 0.012277
04/21/23, 0.012225, 0.012327, 0.012134, 0.012277
04/20/23, 0.012240, 0.012342, 0.012190, 0.012262
04/19/23, 0.012225, 0.012345, 0.012183, 0.012240
04/18/23, 0.012188, 0.012350, 0.012156, 0.012220
04/17/23, 0.012262, 0.012314, 0.012105, 0.012210
04/14/23, 0.012240, 0.012318, 0.012154, 0.012154
04/13/23, 0.012162, 0.012321, 0.012138, 0.012228
04/12/23, 0.012330, 0.012330, 0.012094, 0.012149
04/11/23, 0.012246, 0.012330, 0.012090, 0.012330
04/10/23, 0.012330, 0.012344, 0.012103, 0.012246
04/07/23, 0.012315, 0.012330, 0.011996, 0.012330
04/06/23, 0.012469, 0.012553, 0.012221, 0.012251
04/05/23, 0.012610, 0.012625, 0.012413, 0.012469
04/04/23, 0.012715, 0.012715, 0.012461, 0.012610
04/03/23, 0.012821, 0.012979, 0.012675, 0.012767
03/31/23, 0.012941, 0.012994, 0.012394, 0.012821
03/30/23, 0.012932, 0.013138, 0.012924, 0.012941
03/29/23, 0.013062, 0.013062, 0.012895, 0.012941
03/28/23, 0.013066, 0.013138, 0.012945, 0.013062
03/27/23, 0.012940, 0.013245, 0.012940, 0.013066
03/24/23, 0.013158, 0.013295, 0.012937, 0.012940
03/23/23, 0.012980, 0.013192, 0.012974, 0.013158
03/22/23, 0.012945, 0.013037, 0.012903, 0.012979
03/21/23, 0.012945, 0.013042, 0.012903, 0.012945
03/20/23, 0.012994, 0.013072, 0.012868, 0.013051
03/17/23, 0.012895, 0.013140, 0.012851, 0.012994
03/16/23, 0.013064, 0.013193, 0.012882, 0.012895
03/15/23, 0.013201, 0.024845, 0.013063, 0.013063
03/14/23, 0.013236, 0.013332, 0.013156, 0.013201
03/13/23, 0.013123, 0.013611, 0.013123, 0.013236
03/10/23, 0.013184, 0.013252, 0.013082, 0.013123
03/09/23, 0.013149, 0.013227, 0.013062, 0.013184
03/08/23, 0.013228, 0.013228, 0.013060, 0.013149
03/07/23, 0.013232, 0.013439, 0.013154, 0.013189
03/06/23, 0.013263, 0.013306, 0.013181, 0.013232
03/03/23, 0.013241, 0.013356, 0.013210, 0.013263
03/02/23, 0.013286, 0.013350, 0.013183, 0.013245
